org,year,current_assets,quick_assets,current_liabilities,total_liabilities,total_unrestricted_net_assets
bcz,2021,1069649.0,635359.0,313507.0,313507.0,409687.0
bcz,2022,2678351.0,2358212.0,130265.0,130265.0,1036966.0
bcz,2023,2355227.0,2353727.0,390409.0,415409.0,823734.0
bcz,2024,7179892.0,7171168.0,1849418.0,1868137.0,3941596.0
eoydc,2020,861166.0,861166.0,1471299.0,3813956.0,4069247.0
eoydc,2021,2493786.0,2461886.0,413705.0,2986762.0,4707315.0
eoydc,2022,2483040.0,2452826.0,745610.0,3112943.0,4645431.0
eoydc,2023,1762424.0,1722276.0,463044.0,474684.0,210352.0
eoydc,2024,2414645.0,2414645.0,429901.0,621334.0,1761535.0
roots,2020,4594761.0,4594761.0,1903560.0,4595004.0,3972048.0
roots,2021,11812454.0,11812454.0,3066416.0,4273652.0,11630317.0
roots,2022,12450631.0,12450631.0,2430047.0,4263535.0,14470872.0
roots,2023,12238576.0,12238576.0,3210156.0,9210234.0,13750760.0
roots,2024,15433867.0,15335178.0,3119069.0,10654444.0,16672053.0
boen,2020,595455.4,595455.4,0.0,0.0,595455.4
boen,2021,608531.38,608531.38,1010.0,1010.0,607521.38
boen,2022,1260299.79,1260299.79,0.0,0.0,1260299.79
boen,2023,853140.39,853140.39,313.17,313.17,852827.22
boen,2024,2051275.07,2051275.07,345.14,345.0,2050929.93
